post_id,upload_date,content_id,likes,comments,shares,saves,reach,impressions,followers_gained,engagement_rate,traffic_source
IG0000142,2025-04-25 09:25:22.954916,142,94825,7170,2268,9313,1484988,1737695,144,6.54,Hashtags
IG0000143,2025-05-25 09:25:22.954916,143,173,8780,2633,2584,305909,670468,738,2.11,Hashtags
IG0000144,2025-01-11 09:25:22.954916,144,109921,4198,2191,5713,1591949,1596080,331,7.65,Explore
IG0000145,2024-12-06 09:25:22.954916,145,24424,2637,2398,12097,958324,1327831,59,3.13,External
IG0000146,2025-11-08 09:25:22.954916,146,71608,7462,433,9154,819378,1070379,851,8.28,External
IG0000147,2025-08-08 09:25:22.954916,147,182434,7859,27,4731,1428502,1747252,345,11.16,Reels Feed
IG0000148,2025-10-01 09:25:22.954916,148,95509,6295,258,10755,876963,1241978,740,9.08,Profile
IG0000149,2025-06-19 09:25:22.954916,149,135425,4046,3037,1064,598868,743367,59,19.31,Home Feed
IG0000150,2025-07-18 09:25:22.954916,150,27095,2476,4934,14737,1983868,2439839,265,2.02,Hashtags
IG0000151,2025-04-23 09:25:22.954916,151,133491,4282,4741,10767,976154,1152275,912,13.3,Explore
IG0000152,2025-06-19 09:25:22.954916,152,172245,9740,2089,349,1745042,1778596,511,10.37,Profile
IG0000153,2025-09-04 09:25:22.954916,153,186969,7466,1905,5084,442302,736054,78,27.37,Hashtags
IG0000154,2025-06-25 09:25:22.954916,154,156102,3713,680,13674,373156,625443,346,27.85,Hashtags
IG0000155,2024-12-17 09:25:22.954916,155,107713,4603,4570,6585,1604853,1961630,40,6.29,Profile
IG0000156,2025-05-17 09:25:22.954916,156,165728,7755,3244,11242,131887,261027,908,72.01,Profile
IG0000157,2025-09-27 09:25:22.954916,157,145669,2901,4194,3756,1180015,1191259,282,13.14,Explore
IG0000158,2025-05-20 09:25:22.954916,158,199705,334,4195,14154,462462,739697,474,29.52,Profile
IG0000159,2025-09-05 09:25:22.954916,159,23488,4135,1231,253,948897,1036538,142,2.81,Reels Feed
IG0000160,2025-06-20 09:25:22.954916,160,76948,2419,2742,3811,3190,21115,840,406.91,External
IG0000161,2025-09-01 09:25:22.954916,161,38176,9354,3953,8597,1045076,1255368,59,4.79,Explore
IG0000162,2024-12-23 09:25:22.954916,162,8111,4291,4296,8224,1442988,1790156,459,1.39,Reels Feed
IG0000163,2025-09-28 09:25:22.954916,163,154462,8482,3068,1260,1210347,1434526,866,11.66,Reels Feed
IG0000164,2025-02-07 09:25:22.954916,164,99584,1708,3346,11986,1539906,1759483,646,6.63,Explore
IG0000165,2025-05-06 09:25:22.954916,165,53192,667,429,11352,1076486,1469300,363,4.47,Explore
IG0000166,2025-08-27 09:25:22.954916,166,80156,9626,300,1786,865393,1040081,644,8.83,Home Feed
IG0000167,2025-09-11 09:25:22.954916,167,85508,4309,4829,8868,373817,462180,866,22.4,Reels Feed
IG0000168,2025-01-02 09:25:22.954916,168,153130,9023,1136,2860,1422456,1811431,837,9.17,External
IG0000169,2025-02-19 09:25:22.954916,169,23084,374,1088,9137,1563977,1796651,758,1.87,Hashtags
IG0000170,2024-12-26 09:25:22.954916,170,126872,5535,4962,7642,1089602,1150796,919,12.6,Hashtags
IG0000171,2025-06-05 09:25:22.954916,171,153296,7983,865,3031,1641449,1744228,797,9.47,Home Feed
IG0000172,2025-06-05 09:25:22.954916,172,74575,2599,4578,6963,822315,969699,15,9.15,Hashtags
IG0000173,2025-02-23 09:25:22.954916,173,160316,1005,4459,8609,1622157,1696460,610,10.28,Explore
IG0000174,2025-11-14 09:25:22.954916,174,12903,119,2251,4502,225578,461171,200,4.29,Explore
IG0000175,2025-02-14 09:25:22.954916,175,29054,5374,4683,1048,1463852,1957487,682,2.05,Profile
IG0000176,2025-04-27 09:25:22.954916,176,152979,5891,2221,5926,1358004,1724189,898,9.69,Home Feed
IG0000177,2024-12-26 09:25:22.954916,177,177048,4233,3505,1907,781644,1248092,930,14.96,Profile
IG0000178,2024-12-31 09:25:22.954916,178,145431,4225,670,4284,382237,520857,332,29.68,Hashtags
IG0000179,2025-04-27 09:25:22.954916,179,67523,7239,3078,11494,1016775,1276916,248,7.0,Reels Feed
IG0000180,2025-03-15 09:25:22.954916,180,132268,7024,4110,13545,564794,1017136,90,15.43,Home Feed
IG0000181,2025-07-25 09:25:22.954916,181,103709,1440,3435,3460,1867121,1953730,671,5.73,External
IG0000182,2025-05-17 09:25:22.954916,182,171391,8510,4596,4872,1094651,1117152,921,16.95,Home Feed
IG0000183,2025-11-17 09:25:22.954916,183,134431,7759,636,9377,194249,601903,802,25.29,Explore
IG0000184,2025-09-01 09:25:22.954916,184,129104,9610,2475,9648,463019,759688,193,19.86,Reels Feed
IG0000185,2025-10-01 09:25:22.954916,185,151164,2342,1458,11149,910035,953172,750,17.43,External
IG0000186,2025-02-27 09:25:22.954916,186,15606,4809,2093,6403,62169,224066,345,12.9,Explore
IG0000187,2024-11-29 09:25:22.954916,187,173092,4033,4409,4271,367569,437879,152,42.43,Hashtags
IG0000188,2025-06-06 09:25:22.954916,188,102665,2940,2885,10389,1061889,1338694,273,8.88,Reels Feed
IG0000189,2025-10-21 09:25:22.954916,189,65978,8221,4077,26,724593,1049732,387,7.46,Explore
IG0000190,2025-11-01 09:25:22.954916,190,73562,5761,1911,6086,1427095,1717143,761,5.09,Profile
IG0000191,2025-03-01 09:25:22.954916,191,166204,4832,4236,7952,902667,1103232,9,16.61,Hashtags
IG0000192,2025-11-07 09:25:22.954916,192,68109,1447,2839,14565,170163,253169,712,34.35,External
IG0000193,2025-07-27 09:25:22.954916,193,49797,9967,2832,7743,1746076,2120937,474,3.32,External
IG0000194,2025-01-18 09:25:22.954916,194,182215,9131,2745,14402,78763,233395,274,89.33,Home Feed
IG0000195,2025-02-22 09:25:22.954916,195,84905,2416,3114,9150,1409679,1430471,103,6.96,Hashtags
IG0000196,2025-03-18 09:25:22.954916,196,123388,4976,169,4745,1853770,1944635,891,6.85,Profile
IG0000197,2025-03-12 09:25:22.954916,197,197202,610,1973,8267,149883,286496,483,72.62,External
IG0000198,2024-12-11 09:25:22.954916,198,90898,1650,3656,2465,1177648,1312242,296,7.52,Home Feed
IG0000199,2025-01-25 09:25:22.954916,199,140965,3336,2576,10509,24574,160467,720,98.08,Hashtags
IG0000200,2025-01-09 09:25:22.954916,200,145549,6519,149,2469,382768,384081,826,40.27,External
IG0000201,2025-10-08 09:25:22.954916,201,160136,2665,3655,6984,372334,709007,154,24.46,Hashtags
IG0000202,2025-01-10 09:25:22.954916,202,32829,6896,135,13602,1550648,1856571,660,2.88,Home Feed
IG0000203,2025-01-27 09:25:22.954916,203,173554,6449,1179,8912,1310536,1324629,529,14.35,Hashtags
IG0000204,2025-04-22 09:25:22.954916,204,119754,7739,138,14835,417654,462782,70,30.78,Reels Feed
IG0000205,2025-08-14 09:25:22.954916,205,115114,6911,2594,3198,498185,722381,252,17.69,Hashtags
IG0000206,2025-06-28 09:25:22.954916,206,174274,6140,201,7190,1254268,1522459,104,12.34,Home Feed
IG0000207,2024-11-30 09:25:22.954916,207,154813,4743,2259,4015,1056648,1456340,625,11.39,Profile
IG0000208,2025-04-02 09:25:22.954916,208,43118,9260,1546,4335,364330,515262,391,11.31,External
IG0000209,2025-05-14 09:25:22.954916,209,41352,9500,2918,13385,959539,1048046,556,6.41,Explore
IG0000210,2025-03-31 09:25:22.954916,210,153298,5227,4128,12798,145584,513138,332,34.19,Home Feed
IG0000211,2025-03-14 09:25:22.954916,211,142534,1844,1364,12461,688375,912478,860,17.34,External
IG0000212,2025-05-25 09:25:22.954916,212,153505,1605,658,2008,1698721,1788686,241,8.82,Profile
IG0000213,2025-09-04 09:25:22.954916,213,189790,9309,2846,5761,1491217,1894495,376,10.96,Profile
IG0000214,2025-07-30 09:25:22.954916,214,191534,4007,4040,1707,1431899,1639530,14,12.28,External
IG0000215,2025-11-17 09:25:22.954916,215,144951,8585,2727,11883,1557873,1966942,496,8.55,Profile
IG0000216,2025-03-08 09:25:22.954916,216,95489,9666,2221,13985,1112056,1587527,746,7.64,Profile
IG0000217,2025-03-16 09:25:22.954916,217,187048,9900,1604,7142,1854301,2108304,888,9.76,Reels Feed
IG0000218,2025-11-19 09:25:22.954916,218,161008,5831,1628,9504,456704,880580,913,20.21,Hashtags
IG0000219,2025-02-04 09:25:22.954916,219,47687,3522,2432,2077,905096,1254398,901,4.44,Profile
IG0000220,2025-08-31 09:25:22.954916,220,17002,213,931,3129,690476,1100215,917,1.93,External
IG0000221,2025-02-26 09:25:22.954916,221,92136,1751,3444,8920,1494580,1565253,287,6.79,External
IG0000222,2024-12-19 09:25:22.954916,222,190059,136,4244,5776,1260337,1759702,315,11.38,Home Feed
IG0000223,2025-02-03 09:25:22.954916,223,156819,6314,3931,13986,1149339,1283123,838,14.11,Home Feed
IG0000224,2025-08-27 09:25:22.954916,224,106362,1345,4313,14738,1849145,2234873,603,5.67,Hashtags
IG0000225,2025-02-15 09:25:22.954916,225,87679,2931,1901,10807,283104,340186,119,30.37,Hashtags
IG0000226,2024-12-08 09:25:22.954916,226,24966,6993,2265,1862,206913,544578,685,6.63,Reels Feed
IG0000227,2025-09-17 09:25:22.954916,227,125561,7385,4450,12743,841452,1271558,912,11.81,Reels Feed
IG0000228,2024-12-31 09:25:22.954916,228,28939,6155,1699,14535,1743810,1890854,490,2.71,External
IG0000229,2025-08-28 09:25:22.954916,229,5206,4879,4862,9252,1184204,1273213,201,1.9,Profile
IG0000230,2025-02-01 09:25:22.954916,230,17776,9672,3483,4185,1072834,1162430,257,3.02,Explore
IG0000231,2025-03-14 09:25:22.954916,231,140389,1279,1949,14280,78466,156198,286,101.09,Explore
IG0000232,2025-07-16 09:25:22.954916,232,56228,1232,2460,6731,1768879,2250137,727,2.96,Reels Feed
IG0000233,2025-04-08 09:25:22.954916,233,189961,6761,3641,2828,755311,969037,724,20.97,Profile
IG0000234,2025-08-22 09:25:22.954916,234,60897,4713,1533,11780,704763,747324,773,10.56,Home Feed
IG0000235,2025-03-19 09:25:22.954916,235,71870,8847,4244,2301,103912,541006,766,16.13,Hashtags
IG0000236,2025-02-21 09:25:22.954916,236,102580,5303,4897,10822,1850069,2180392,273,5.67,Profile
IG0000237,2025-04-27 09:25:22.954916,237,80145,3104,4499,2903,717840,1116222,274,8.12,Home Feed
IG0000238,2025-11-13 09:25:22.954916,238,179827,6380,3471,13410,1535778,1909668,193,10.63,External
IG0000239,2025-04-15 09:25:22.954916,239,44761,3633,2248,11291,154806,387576,997,15.98,Explore
IG0000240,2025-10-21 09:25:22.954916,240,77868,9127,529,304,1600694,1828842,517,4.8,Hashtags
IG0000241,2025-09-09 09:25:22.954916,241,12122,6356,4976,13130,1894865,2244309,671,1.63,Profile
IG0000242,2025-03-19 09:25:22.954916,242,70155,2041,296,4378,1771913,2041859,710,3.76,Reels Feed
IG0000243,2025-10-26 09:25:22.954916,243,193726,6271,1238,11821,1768189,2217918,459,9.61,Home Feed
IG0000244,2025-05-26 09:25:22.954916,244,78400,2696,3475,400,680736,1022643,719,8.31,External
IG0000245,2025-11-04 09:25:22.954916,245,178319,169,2544,3255,1133193,1234191,233,14.93,Reels Feed
IG0000246,2025-09-27 09:25:22.954916,246,119398,6020,2494,13687,1910721,2319301,553,6.11,External
IG0000247,2025-04-26 09:25:22.954916,247,184300,57,2382,8361,1844709,2243112,622,8.7,External
IG0000248,2025-03-23 09:25:22.954916,248,119158,5844,3621,11336,1404703,1703281,78,8.22,Home Feed
IG0000249,2025-01-30 09:25:22.954916,249,115714,7839,2048,10533,56685,392351,248,34.7,External
IG0000250,2025-04-27 09:25:22.954916,250,164844,4175,310,8264,1218302,1624852,456,10.93,Explore
IG0000251,2025-05-15 09:25:22.954916,251,109423,5154,3434,14554,1501415,1969250,994,6.73,Hashtags
IG0000252,2024-12-13 09:25:22.954916,252,7678,9407,2086,1791,911406,967880,3,2.17,Home Feed
IG0000253,2025-06-29 09:25:22.954916,253,113555,7633,1720,302,1941541,2289380,8,5.38,Explore
IG0000254,2025-05-27 09:25:22.954916,254,124148,3857,2062,12036,1615815,2066966,797,6.87,Home Feed
IG0000255,2025-09-25 09:25:22.954916,255,88778,5076,2847,7880,389259,859243,697,12.17,Reels Feed
IG0000256,2025-06-29 09:25:22.954916,256,108946,7023,1141,12308,1366872,1461152,346,8.86,Profile
IG0000257,2025-07-28 09:25:22.954916,257,126157,5668,4875,1890,1253368,1340140,428,10.34,Explore
IG0000258,2025-10-30 09:25:22.954916,258,77281,6092,2187,2238,1177127,1346670,544,6.52,Home Feed
IG0000259,2024-12-01 09:25:22.954916,259,2851,6932,1241,5278,226235,483848,430,3.37,Home Feed
